"source_file","reaction_id","reaction_type","reaction_smiles"
"Acetal_ketal_formation.csv","31-301-CAS-10019964","Acetal ketal formation","OCCO.O=Cc1coc2ccccc2c1=O>>O=c1c(C2OCCO2)coc2ccccc12"
"Acetal_ketal_formation.csv","31-301-CAS-10028045","Acetal ketal formation","CO.CCCC=CC=O>>CCCC=CC(OC)OC"
"Acetal_ketal_formation.csv","31-301-CAS-10029806","Acetal ketal formation","OCC(CO)(CO)CO.COc1ccccc1C=O>>COc1ccccc1C1OCC2(CO1)COC(c1ccccc1OC)OC2"
"Acetal_ketal_formation.csv","31-301-CAS-10047780","Acetal ketal formation","COC(OC)OC.CC(=O)C(C)=O.O[C@@H]1CCCC[C@H]1O>>CO[C@@]1(C)O[C@@H]2CCCC[C@H]2O[C@]1(C)OC"
"Acetal_ketal_formation.csv","31-301-CAS-10048377","Acetal ketal formation","OCCCO.COc1ccc(Br)c(C=O)c1>>COc1ccc(Br)c(C2OCCCO2)c1"
"Acetal_ketal_formation.csv","31-301-CAS-10057569","Acetal ketal formation","Cc1ccc(C=O)cc1.OCC(CO)(CO)CO>>Cc1ccc(C2OCC3(CO2)COC(c2ccc(C)cc2)OC3)cc1"
"Acetal_ketal_formation.csv","31-301-CAS-10065528","Acetal ketal formation","OCCCO.CC(=O)CCc1ccccc1>>CC1(CCc2ccccc2)OCCCO1"
"Acetal_ketal_formation.csv","31-301-CAS-1006768","Acetal ketal formation","CCO.CC(=O)CCc1ccccc1>>CCOC(C)(CCc1ccccc1)OCC"
"Acetal_ketal_formation.csv","31-301-CAS-10067941","Acetal ketal formation","CO.O=Cc1ccco1>>COC(OC)c1ccco1"
"Acetal_ketal_formation.csv","31-301-CAS-10069886","Acetal ketal formation","OCCO.O=C1CCCCCCC1>>C1CCCC2(CCC1)OCCO2"
"Acetal_ketal_formation.csv","31-301-CAS-10081461","Acetal ketal formation","CO.O=Cc1ccc2c(c1)OCO2>>COC(OC)c1ccc2c(c1)OCO2"
"Acetal_ketal_formation.csv","31-301-CAS-1008973","Acetal ketal formation","CO.O=Cc1cccs1>>COC(OC)c1cccs1"
"Acetal_ketal_formation.csv","31-301-CAS-10097685","Acetal ketal formation","O=Cc1cccc([N+](=O)[O-])c1.COC(OC)OC>>COC(OC)c1cccc([N+](=O)[O-])c1"
"Acetal_ketal_formation.csv","31-301-CAS-10101456","Acetal ketal formation","CN(C)c1ccc(C=O)cc1.COC(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(O)CO>>COC(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C1COC(c2ccc(N(C)C)cc2)O1"
"Acetal_ketal_formation.csv","31-301-CAS-10106698","Acetal ketal formation","CO.CCCCCCC=O>>CCCCCCC(OC)OC"
"Acetal_ketal_formation.csv","31-301-CAS-10108218","Acetal ketal formation","OCc1ccccc1.O=Cc1ccccc1>>c1ccc(COC(OCc2ccccc2)c2ccccc2)cc1"
"Acetal_ketal_formation.csv","31-301-CAS-10118362","Acetal ketal formation","CCO.Cc1ccc(C=O)cc1>>CCOC(OCC)c1ccc(C)cc1"
"Acetal_ketal_formation.csv","31-301-CAS-10122374","Acetal ketal formation","CO.O=Cc1ccccc1>>COC(OC)c1ccccc1"
"Acetal_ketal_formation.csv","31-301-CAS-10130249","Acetal ketal formation","CCO.O=Cc1ccc(Cl)cc1>>CCOC(OCC)c1ccc(Cl)cc1"
"Acetal_ketal_formation.csv","31-301-CAS-10139280","Acetal ketal formation","CC(C)[C@H](O)[C@@H](O)C(C)C.C=CC(=O)Oc1cccc2c1C(=O)CC2>>C=CC(=O)Oc1cccc2c1C1(CC2)O[C@@H](C(C)C)[C@H](C(C)C)O1"
"Acetal_ketal_formation.csv","31-301-CAS-1013935","Acetal ketal formation","O=Cc1ccccc1.OCCCO>>c1ccc(C2OCCCO2)cc1"
